Date,Open,High,Low,Close,Volume,Company
2016/12/21,11170.410156,11174.400391,11142.570312,11142.570312,2852230000,NYSE
2016/12/20,11145.290039,11176.679688,11145.290039,11172.200195,3298780000,NYSE
2016/12/19,11127,11150.30957,11110.589844,11128.549805,3248370000,NYSE
2016/12/16,11152.209961,11162.94043,11109.589844,11125.219727,5920340000,NYSE
2016/12/15,11087.129883,11170.650391,11086.389648,11131.889648,4168200000,NYSE
2016/12/14,11214.030273,11234,11087.009766,11098.669922,4406970000,NYSE
2016/12/13,11216.830078,11256.070312,11189.429688,11237.160156,3857590000,NYSE
2016/12/12,11200.200195,11227.299805,11163.200195,11177.269531,4034510000,NYSE
2016/12/09,11153.099609,11194.230469,11152.679688,11191.790039,3884480000,NYSE
2016/12/08,11114.320312,11176.629883,11094.790039,11149.959961,4200580000,NYSE
2016/12/07,10977.410156,11118,10974.200195,11114.610352,4501820000,NYSE
2016/12/06,10923.580078,10973.919922,10902.259766,10970.780273,3855320000,NYSE
2016/12/05,10890.150391,10923.910156,10888.709961,10910.900391,3895230000,NYSE
2016/12/02,10828.990234,10867.700195,10821.209961,10838.580078,3779500000,NYSE
2016/12/01,10860.419922,10876.379883,10812.75,10828.990234,5063740000,NYSE
2016/11/30,10872.379883,10890.040039,10838.450195,10838.480469,5533980000,NYSE
2016/11/29,10798.919922,10842.280273,10786.400391,10817.700195,3706560000,NYSE
2016/11/28,10857.469727,10864.769531,10803.089844,10808.629883,3505650000,NYSE
2016/11/25,10854.69043,10878.099609,10852.889648,10878.089844,1584600000,NYSE
2016/11/23,10772.610352,10837.230469,10768.799805,10835.900391,3418640000,NYSE
2016/11/22,10793.339844,10828.269531,10768.599609,10820.179688,3957940000,NYSE
2016/11/21,10753.25,10793.370117,10752.080078,10791.839844,3607010000,NYSE
2016/11/18,10725.339844,10735.089844,10695.219727,10709.509766,3572400000,NYSE
2016/11/17,10717.879883,10759.150391,10717.679688,10740.080078,3809160000,NYSE
2016/11/16,10705.469727,10719.889648,10677.269531,10699.429688,3830590000,NYSE
2016/11/15,10680.419922,10745.530273,10664.849609,10745.509766,4543860000,NYSE
2016/11/14,10660.450195,10695.570312,10633.980469,10679.769531,5367200000,NYSE
2016/11/11,10644.55957,10660.980469,10585.629883,10652.240234,4988050000,NYSE
2016/11/10,10678.969727,10735,10617.839844,10683.410156,6451640000,NYSE
2016/11/09,10477.790039,10679.69043,10474.730469,10643.410156,6264150000,NYSE
2016/11/08,10462.839844,10563.509766,10454.349609,10530.55957,3916930000,NYSE
2016/11/07,10416.339844,10500.19043,10416.339844,10500.160156,3736060000,NYSE
2016/11/04,10308.30957,10352.980469,10281.480469,10289.339844,3837860000,NYSE
2016/11/03,10350.620117,10370.269531,10292.950195,10307.639648,3886740000,NYSE
2016/11/02,10389.950195,10407.320312,10316.44043,10334.5,4248580000,NYSE
2016/11/01,10508.009766,10513.530273,10354.860352,10414.049805,4532160000,NYSE
2016/10/31,10476.919922,10505.990234,10465.419922,10481.889648,3922400000,NYSE
2016/10/28,10495.30957,10538.209961,10447.25,10476.620117,4019510000,NYSE
2016/10/27,10561.540039,10562.910156,10495.870117,10503.05957,4204830000,NYSE
2016/10/26,10505.990234,10558.75,10497.379883,10528.19043,3775200000,NYSE
2016/10/25,10575.19043,10590.589844,10542.629883,10550.19043,3751340000,NYSE
2016/10/24,10610.580078,10629.629883,10567.240234,10591.299805,3357320000,NYSE
2016/10/21,10545.120117,10580.150391,10522.320312,10571.879883,3448850000,NYSE
2016/10/20,10587.830078,10626.44043,10560.980469,10597.360352,3337170000,NYSE
2016/10/19,10580.450195,10623.299805,10561.129883,10600.910156,3362670000,NYSE
2016/10/18,10578.889648,10583.830078,10539.799805,10567.80957,3170000000,NYSE
2016/10/17,10516.299805,10531.459961,10481.589844,10492.860352,2830390000,NYSE
2016/10/14,10579.769531,10606.669922,10521.290039,10521.299805,3228150000,NYSE
2016/10/13,10487.610352,10551.5,10425.910156,10522.94043,3580450000,NYSE
2016/10/12,10546.009766,10587.459961,10525.55957,10560.269531,2977100000,NYSE
2016/10/11,10656.219727,10656.219727,10510.610352,10548,3438270000,NYSE
2016/10/10,10671.219727,10711.830078,10671.219727,10682.69043,2916550000,NYSE
2016/10/07,10680.469727,10689.419922,10579.629883,10626.919922,3619890000,NYSE
2016/10/06,10664.540039,10684.900391,10627.700195,10675.740234,3461550000,NYSE
2016/10/05,10666.410156,10703.919922,10664.150391,10683.94043,3906550000,NYSE
2016/10/04,10705.860352,10712.580078,10597.040039,10629.150391,3750890000,NYSE
2016/10/03,10721.849609,10721.849609,10658.55957,10690.769531,3137550000,NYSE
2016/09/30,10679.070312,10758.009766,10668.339844,10721.730469,4173340000,NYSE
2016/09/29,10742.080078,10764.269531,10614.040039,10643.519531,4249220000,NYSE
2016/09/28,10665.580078,10757.790039,10623.209961,10753.450195,3891460000,NYSE
2016/09/27,10600.150391,10676.860352,10587.929688,10665.339844,3437770000,NYSE
2016/09/26,10675.25,10678.120117,10621.05957,10624.879883,3216170000,NYSE
2016/09/23,10793.660156,10793.660156,10712.879883,10717.980469,3317190000,NYSE
2016/09/22,10769.379883,10818.110352,10769.379883,10793.660156,3552830000,NYSE
2016/09/21,10605.099609,10716.580078,10584.339844,10708.370117,3712090000,NYSE
2016/09/20,10608.55957,10620.360352,10558.360352,10560.25,3140730000,NYSE
2016/09/19,10533.419922,10625.69043,10533.419922,10564.299805,3163000000,NYSE
2016/09/16,10554.099609,10554.099609,10498.349609,10532.259766,5014360000,NYSE
2016/09/15,10501.320312,10625.799805,10491.089844,10602.94043,3373720000,NYSE
2016/09/14,10533.709961,10596.459961,10487.799805,10511.400391,3664100000,NYSE
2016/09/13,10644.469727,10644.469727,10502.320312,10534.910156,4141670000,NYSE
2016/09/12,10563.730469,10760.589844,10553.650391,10741.240234,4010480000,NYSE
2016/09/09,10799.129883,10799.129883,10613.530273,10613.530273,4233960000,NYSE
2016/09/08,10879.969727,10903.860352,10857.230469,10882.339844,3727840000,NYSE
2016/09/07,10886.509766,10898.759766,10856.759766,10890.179688,3319420000,NYSE
2016/09/06,10879.639648,10891.219727,10838.950195,10890.780273,3447650000,NYSE
2016/09/02,10830.549805,10867.849609,10827.19043,10856.910156,3091120000,NYSE
2016/09/01,10762.450195,10780.709961,10704,10771.929688,3392120000,NYSE
2016/08/31,10780.209961,10785.650391,10714.089844,10764.75,3766390000,NYSE
2016/08/30,10817.339844,10825.719727,10772.129883,10797.540039,3006800000,NYSE
2016/08/29,10753.450195,10825.040039,10753.450195,10811.349609,2654780000,NYSE
2016/08/26,10808.400391,10869.469727,10710.049805,10749.330078,3342340000,NYSE
2016/08/25,10780.730469,10813.980469,10770.290039,10784.370117,2969310000,NYSE
2016/08/24,10845.169922,10848.900391,10774.969727,10791.179688,3148280000,NYSE
2016/08/23,10857.94043,10879.280273,10847.009766,10847.490234,3041490000,NYSE
2016/08/22,10798.099609,10824.55957,10775.179688,10815.919922,2777550000,NYSE
2016/08/19,10822.509766,10834.509766,10783.290039,10829.150391,3084800000,NYSE
2016/08/18,10823.790039,10863.019531,10820.839844,10863.009766,3300570000,NYSE
2016/08/17,10803.679688,10828.94043,10754.650391,10824.639648,3388910000,NYSE
2016/08/16,10843.410156,10843.580078,10809.679688,10809.740234,3196400000,NYSE
2016/08/15,10838.339844,10892.150391,10838.339844,10858.5,3078530000,NYSE
